iter	Logloss
0	0.6924834982
1	0.6919865773
2	0.691359286
3	0.6911803526
4	0.6907593585
5	0.6902632502
6	0.6900916787
7	0.6898487393
8	0.6895793437
9	0.6894353696
10	0.6893405232
11	0.6891350442
12	0.6887938101
13	0.6884568641
14	0.6882235329
15	0.6880562274
16	0.6876394456
17	0.6873295599
18	0.6870990134
19	0.6867419616
20	0.6865870436
21	0.686326776
22	0.6861354577
23	0.6859185206
24	0.6857431461
25	0.685483603
26	0.6853227751
27	0.6851899456
28	0.6850622594
29	0.6848188482
30	0.684575344
31	0.6844120243
32	0.6841752917
33	0.6840666876
34	0.6839017016
35	0.6836946689
36	0.683395603
37	0.683184212
38	0.6830886226
39	0.6830740581
40	0.6829397195
41	0.682766413
42	0.6826460382
43	0.6825841354
44	0.6825042978
45	0.6822870497
46	0.6820682295
47	0.6819468591
48	0.6819085984
49	0.6816330998
50	0.6814041074
51	0.6813312086
52	0.681272406
53	0.6810121236
54	0.6809261699
55	0.6807016802
56	0.6805799339
57	0.680447053
58	0.680345667
59	0.6800967612
60	0.6799599907
61	0.6798543439
62	0.6795841268
63	0.6794530807
64	0.6794214143
65	0.6793407161
66	0.6792487296
67	0.6791321083
68	0.6790510257
69	0.6787791508
70	0.6786802751
71	0.6786206936
72	0.6784005498
73	0.6782035177
74	0.6778103925
75	0.6774713109
76	0.6773229066
77	0.6771739178
78	0.6770012846
79	0.6768068458
80	0.6764232169
81	0.6763124891
82	0.6760987747
83	0.6758497972
84	0.6756687441
85	0.6754892324
86	0.6753945157
87	0.6750777433
88	0.6748170644
89	0.6744770569
90	0.6739942288
91	0.673900309
92	0.6737149423
93	0.6734156447
94	0.6730511498
95	0.6728580878
96	0.6726907815
97	0.6723296277
98	0.6720287795
99	0.671913907
